จังหวัด,วัด
มหาสารคาม,วัดพระธาตุดอยกิ่วขมิ้น
มหาสารคาม,วัดถ้ำพระ
มหาสารคาม,วัดจอมแจ้ง
มหาสารคาม,วัดผาบ่องเหนือ
มหาสารคาม,วัดพระธาตุจอมมอญ
มหาสารคาม,วัดโวหารคุณ
มหาสารคาม,วัดปางหมู
มหาสารคาม,วัดอุทธยารมณ์
มหาสารคาม,วัดธรรมเจดีย์วนาราม
มหาสารคาม,วัดขุ่ม
มหาสารคาม,วัดกลางทุ่ง
มหาสารคาม,วัดอมราวาส
มหาสารคาม,วัดหัวเวียง
มหาสารคาม,วัดบ้านไร่
มหาสารคาม,วัดผาผ่า
มหาสารคาม,วัดจองคำ
มหาสารคาม,วัดพระธาตุดอยกองมู
มหาสารคาม,วัดประตูเมือง
มหาสารคาม,วัดผาอ่าง
มหาสารคาม,วัดนาปู่ป้อม
มหาสารคาม,วัดก้ำก่อ
มหาสารคาม,วัดกุงเปา
มหาสารคาม,วัดต่อแพ
มหาสารคาม,วัดน้ำฮู
มหาสารคาม,วัดนาจลอง
มหาสารคาม,วัดพระธาตุจอมแจ้ง
มหาสารคาม,วัดหลวง
มหาสารคาม,วัดศรีบุญเรือง
มหาสารคาม,วัดผาบ่องใต้
มหาสารคาม,วัดท่าข้ามใต้
มหาสารคาม,วัดกองก๋อย
มหาสารคาม,วัดแม่สะงา
มหาสารคาม,วัดป่าขาม
มหาสารคาม,วัดกลาง
มหาสารคาม,วัดโพธาราม
มหาสารคาม,วัดบ้านใหม่
มหาสารคาม,วัดศรีดอนชัย
มหาสารคาม,วัดพระธาตุจอมกิตติ
มหาสารคาม,วัดพระนอน
มหาสารคาม,วัดสบป่อง
มหาสารคาม,วัดทุ่งโป่ง
มหาสารคาม,วัดเมืองปอน
ยโสธร,วัดสระแก้ว
ยโสธร,วัดบูรพาราม
ยโสธร,วัดสิงห์ท่า
ยโสธร,วัดธาตุทอง
ยโสธร,วัดศรีธรรมาราม
ยโสธร,วัดจำปา
ยโสธร,วัดมหาธาตุ
ยโสธร,วัดท่าเยี่ยม
ยโสธร,วัดพระพุทธบาทยโสธร
ยโสธร,วัดตรีสุวรรณาราม
ยโสธร,วัดศรีบุญเรือง
ยโสธร,วัดดอนพระเจ้า
ยโสธร,วัดอัมพวัน
ยโสธร,วัดชัยมงคล
ยโสธร,วัดธรรมรังษีนิคมเขต
ยโสธร,วัดโพธาราม
ยโสธร,วัดบ้านปลาอีด
ยโสธร,วัดทุ่งสว่างชัยภูมิ
ยโสธร,วัดดอนหวาย
ยโสธร,วัดบูรพารามใต้
ยโสธร,วัดสว่างอารมณ์
ยโสธร,วัดบ้านโป่ง
ยโสธร,วัดชัยพฤกษ์
ยโสธร,วัดหนองเทา
